Chapter,Type,Type#,Formula#,Path,latex
18,18.4,Theorem,2,real_and_complex/18.4 Theorem_18_2.jpg,$(x+h)^{-1}=\left(e+x^{-1} h\right)^{-1} x^{-1}$
6,6.19,Theorem,7,real_and_complex/6.19 Theorem_6_7.jpg,"$\int_{X}|g| d \lambda \geq \sup \left\{|\Phi(f)|: f \in C_{0}(X),\|f\| \leq 1\right\}=1$."
10,10.35,Cauchy’s,10,real_and_complex/10.35 Cauchy’s Theorem_10_10.jpg,$h_{1}(z)=\frac{1}{2 \pi i} \int_{\Gamma} \frac{f(w)}{w-z} d w \quad\left(z \in \Omega_{1}\right)$
7,7.15,Theorem,6,real_and_complex/7.15 Theorem_7_6.jpg,$f_{n+1}(x)=f_{n}(x) \quad\left(x \notin E_{n}\right)$
20,20.3,Lemma,3,real_and_complex/20.3 Lemma_20_3.jpg,"$(\bar{\partial} f)(\zeta)=\frac{1}{2} e^{i \theta}\left[\frac{\partial}{\partial r}+\frac{i}{r} \frac{\partial}{\partial \theta}\right] \varphi(r, \theta)$."
6,6.10,The,10,real_and_complex/6.10 The Theorem_6_10.jpg,"$\lambda_{a}(E)=\lambda(A \cap E), \quad \lambda_{s}(E)=\lambda(B \cap E)$,"
5,5.9,The,2,real_and_complex/5.9 The Open Mapping Theorem_5_2.jpg,"$\Lambda x_{i}^{\prime} \rightarrow y_{0}, \quad \Lambda x_{i}^{\prime \prime} \rightarrow y_{0}+y \quad(i \rightarrow \infty)$"
10,10.42,The,2,real_and_complex/10.42 The Residue Theorem_10_2.jpg,$\frac{1}{2 \pi i} \int_{\Gamma} f(z) d z=\sum_{a \in A} \operatorname{Res}(f ; a) \operatorname{Ind}_{\Gamma}(a)$.
1,1.38,Theorem,4,real_and_complex/1.38 Theorem_1_4.jpg,$\int_{s} \varphi d \mu<\infty$.
19,19.11,Theorem,16,real_and_complex/19.11 Theorem_19_16.jpg,$\left|1-\frac{\sin \lambda_{n} z}{\lambda_{n} z}\right| \leq B \lambda_{n}|z| \quad\left(|z| \leq \frac{1}{\lambda_{n}}\right)$
15,15.9,Theorem,0,real_and_complex/15.9 Theorem_15_0.jpg,$\sum_{n=1}^{\infty}\left(\frac{r}{r_{n}}\right)^{1+p_{n}}<\infty$
6,6.10,The,6,real_and_complex/6.10 The Theorem_6_6.jpg,$\int_{X} f d \lambda=\int_{X} f g d \varphi$
13,13.11,Theorem,1,real_and_complex/13.11 Theorem_13_1.jpg,$F(z)=\int_{\Gamma(z)} f(\zeta) d \zeta \quad(z \in \Omega)$
8,8.14,Theorem,6,real_and_complex/8.14 Theorem_8_6.jpg,"$\varphi(x, y)=x-y, \quad \psi(x, y)=y$"
6,6.16,Theorem,5,real_and_complex/6.16 Theorem_6_5.jpg,$\Phi\left(\chi_{E}\right)=\int_{E} g d \mu=\int_{X} \chi_{E} g d \mu$
16,16.9,Definition,2,real_and_complex/16.9 Definition_16_2.jpg,"$\gamma\left(\left[s_{i}, s_{i+1}\right]\right) \subset D_{i} \quad(i=0, \ldots, n-1)$"
6,6.11,Theorem,1,real_and_complex/6.11 Theorem_6_1.jpg,"$A_{n}=\bigcup_{i=n}^{\infty} E_{i}, \quad A=\bigcap_{n=1}^{\infty} A_{n}$."
6,6.16,Theorem,10,real_and_complex/6.16 Theorem_6_10.jpg,$\Psi(F)=\int_{X} F G d \tilde{\mu} \quad\left(F \in L^{P}(\tilde{\mu})\right)$
6,6.16,Theorem,11,real_and_complex/6.16 Theorem_6_11.jpg,$\int_{X}|g|^{q} d \mu=\int_{X}|G|^{q} d \tilde{\mu}=\|\Psi\|^{q}=\|\Phi\|^{q}$
4,4.14,(thus,1,real_and_complex/4.14 (thus obtaining Theorem_4_1.jpg,$\sum_{\alpha \in A} \varphi(\alpha)$
6,6.16,Theorem,4,real_and_complex/6.16 Theorem_6_4.jpg,$\left\|\chi_{E}-\chi_{A_{k}}\right\|_{p}=\left[\mu\left(E-A_{k}\right)\right]^{1 / p} \rightarrow 0 \quad(k \rightarrow \infty)$
6,6.10,The,7,real_and_complex/6.10 The Theorem_6_7.jpg,$0 \leq \frac{1}{\varphi(E)} \int_{E} g d \varphi=\frac{\lambda(E)}{\varphi(E)} \leq 1$.
15,15.9,Theorem,1,real_and_complex/15.9 Theorem_15_1.jpg,"Condition  is always satisfied if $p_{n}=n-1$, for instance."
1,1.35,Definition,1,real_and_complex/1.35 Definition_1_1.jpg,"$\mu(\{x: f(x) \neq g(x)\})=0$,"
5,5.9,The,3,real_and_complex/5.9 The Open Mapping Theorem_5_3.jpg,$\|x\| \leq \delta^{-1}\|y\| \quad$ and $\quad\|y-\Lambda x\|<\epsilon$.
10,10.42,The,3,real_and_complex/10.42 The Residue Theorem_10_3.jpg,$\int_{\Gamma} g(z) d z=0$
8,8.8,Theorem,1,real_and_complex/8.8 Theorem_8_1.jpg,"$\varphi(x)=\int_{Y} f_{x} d \lambda, \quad \psi(y)=\int_{X} f^{y} d \mu \quad(x \in X, y \in Y)$"
6,6.10,The,11,real_and_complex/6.10 The Theorem_6_11.jpg,$\int_{E}\left(1-g^{n+1}\right) d \lambda=\int_{E} g\left(1+g+\cdots+g^{n}\right) w d \mu$
19,19.2,Theorem,1,real_and_complex/19.2 Theorem_19_1.jpg,$\sup _{0<y<\infty} \frac{1}{2 \pi} \int_{-\infty}^{\infty}|f(x+i y)|^{2} d x=C<\infty$
3,3.11,Theorem,6,real_and_complex/3.11 Theorem_3_6.jpg,$\int_{X}\left|f-f_{m}\right|^{p} d \mu \leq \liminf _{i \rightarrow \infty} \int_{X}\left|f_{n_{i}}-f_{m}\right|^{p} d \mu \leq \epsilon^{p}$.
20,20.3,Lemma,2,real_and_complex/20.3 Lemma_20_2.jpg,$f(z)=-\frac{1}{\pi} \iint_{R^{2}} \frac{(\bar{\partial} f)(\zeta)}{\zeta-z} d \xi d \eta \quad(\zeta=\xi+i \eta)$
12,12.12,The,69,real_and_complex/12.12 The Hausdorff-Young Theorem_12_69.jpg,$(\partial \bar{\partial})(f g)=f \cdot(\partial \bar{\partial} g)+(\partial f) \cdot(\bar{\partial} g)+(\bar{\partial} f) \cdot(\partial g)+(\partial \bar{\partial} f) \cdot g$.
7,7.15,Theorem,7,real_and_complex/7.15 Theorem_7_7.jpg,$\left|f_{n}(x)-f_{n+1}(x)\right| \leq \int_{I}\left|g_{n}-g_{n+1}\right|<2^{-n+1} \quad\left(x \in E_{n}\right)$
10,10.35,Cauchy’s,11,real_and_complex/10.35 Cauchy’s Theorem_10_11.jpg,$\lim _{|z| \rightarrow \infty} \varphi(z)=\lim _{|z| \rightarrow \infty} h_{1}(z)=0$
17,17.5,Theorem,4,real_and_complex/17.5 Theorem_17_4.jpg,$\left\|f_{r}\right\|_{0}=\exp \int_{T} \log ^{+}\left|f_{r}\right| d \sigma$
6,6.19,Theorem,6,real_and_complex/6.19 Theorem_6_6.jpg,$\Phi(f)=\int_{X} f g d \lambda \quad\left(f \in C_{c}(X)\right)$
10,10.40,Theorem,1,real_and_complex/10.40 Theorem_10_1.jpg,$\operatorname{Ind}_{\Gamma_{1}}(\alpha)=\operatorname{Ind}_{\Gamma_{0}}(\alpha)$
1,1.29,Theorem,2,real_and_complex/1.29 Theorem_1_2.jpg,$\int_{X} g d \varphi=\int_{X} g f d \mu$
18,18.4,Theorem,3,real_and_complex/18.4 Theorem_18_3.jpg,"$(x+h)^{-1}-x^{-1}+x^{-1} h x^{-1}=\left[\left(e+x^{-1} h\right)^{-1}-e+x^{-1} h\right] x^{-1}$,"
8,8.15,Definition,1,real_and_complex/8.15 Definition_8_1.jpg,$\mu\{f>t\}=\mu(\{x \in X: f(x)>t\})$
10,10.2,Definition,1,real_and_complex/10.2 Definition_10_1.jpg,$\lim _{z \rightarrow z_{0}} \frac{f(z)-f\left(z_{0}\right)}{z-z_{0}}$
2,2.13,Theorem,14,real_and_complex/2.13 Theorem_2_14.jpg,$\mu(A-B) \leq \epsilon+\mu\left(K_{1}-V_{2}\right)+\epsilon$
9,9.3,Remark,2,real_and_complex/9.3 Remark_9_2.jpg,$f(x)=\sum_{-\infty}^{\infty} c_{n} e^{i n x}$
10,10.10,Theorem,2,real_and_complex/10.10 Theorem_10_2.jpg,$\operatorname{Ind}_{\gamma}(z)=\frac{1}{2 \pi i} \int_{\alpha}^{\beta} \frac{\gamma^{\prime}(s)}{\gamma(s)-z} d s$.
20,20.2,Lemma,6,real_and_complex/20.2 Lemma_20_6.jpg,$b=\frac{1}{2 \pi i} \int_{\Gamma} z g(z) d z$
20,20.5,Theorem,21,real_and_complex/20.5 Theorem_20_21.jpg,$\left|f\left(z_{2}\right)-f\left(z_{1}\right)\right|$
19,19.9,Theorem,2,real_and_complex/19.9 Theorem_19_2.jpg,"$\left\|D^{n} f\right\|_{\infty} \leq \beta B^{n} n ! \quad(n=0,1,2, \ldots)$"
4,4.14,Theorem,4,real_and_complex/4.14 Theorem_4_4.jpg,$\left\|x-s_{F}(x)\right\|<\|x-s\|$
10,10.1,Definition,3,real_and_complex/10.1 Definition_10_3.jpg,$\bar{A} \cap B=\varnothing=A \cap \bar{B}$.
2,2.25,The,1,real_and_complex/2.25 The Vitali-Carathéodory Theorem_2_1.jpg,$\int_{X}(v-u) d \mu<\epsilon$.
7,7.20,Theorem,1,real_and_complex/7.20 Theorem_7_1.jpg,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(a \leq x \leq b)$
15,15.24,Theorem,1,real_and_complex/15.24 Theorem_15_1.jpg,$\lim _{r \rightarrow 1} \frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|B\left(r e^{i \theta}\right)\right| d \theta=0$.
15,15.24,Theorem,3,real_and_complex/15.24 Theorem_15_3.jpg,$\log \left|B_{N}\right| \leq \lim _{r \rightarrow 1} \frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|B\left(r e^{i \theta}\right)\right| d \theta \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|B^{*}\left(e^{i \theta}\right)\right| d \theta \leq 0$
17,17.11,Theorem,1,real_and_complex/17.11 Theorem_17_1.jpg,$f=B h^{2 / p}$
2,2.25,The,3,real_and_complex/2.25 The Vitali-Carathéodory Theorem_2_3.jpg,$\int_{X} f d \mu=\sum_{i=1}^{\infty} c_{i} \mu\left(E_{i}\right)$
7,7.20,Theorem,3,real_and_complex/7.20 Theorem_7_3.jpg,$f=f_{1}-f_{2}$
10,10.1,Definition,1,real_and_complex/10.1 Definition_10_1.jpg,$D(a ; r)=\{z:|z-a|<r\}$
4,4.14,Theorem,6,real_and_complex/4.14 Theorem_4_6.jpg,$\|x-s\|^{2}=\left\|\left(x-s_{F}\right)+\left(s_{F}-s\right)\right\|^{2}=\left\|x-s_{F}\right\|^{2}+\left\|s_{F}-s\right\|^{2}$
15,15.15,Theorem,4,real_and_complex/15.15 Theorem_15_4.jpg,$1=h g_{n}+f \varphi$
20,20.5,Theorem,23,real_and_complex/20.5 Theorem_20_23.jpg,$2 \pi \int_{0}^{4 \delta}\left(\frac{50}{\delta}+\frac{1}{\rho}\right) \rho d \rho=808 \pi \delta$
20,20.2,Lemma,4,real_and_complex/20.2 Lemma_20_4.jpg,$F(w)=\frac{a}{w}+\sum_{n=0}^{\infty} c_{n} w^{n} \quad(w \in U)$
10,10.39,Lemma,2,real_and_complex/10.39 Lemma_10_2.jpg,$\frac{\gamma^{\prime}}{\gamma}=\frac{\gamma_{1}^{\prime}}{\gamma_{1}-\alpha}-\frac{\gamma_{0}^{\prime}}{\gamma_{0}-\alpha}$
10,10.2,Definition,3,real_and_complex/10.2 Definition_10_3.jpg,$g(w)-g\left(w_{0}\right)=\left[g^{\prime}\left(w_{0}\right)+\eta(w)\right]\left(w-w_{0}\right)$
1,1.28,Fatou’s,2,real_and_complex/1.28 Fatou’s Lemma_1_2.jpg,"$g_{k}(x)=\inf _{i \geq k} f_{i}(x) \quad(k=1,2,3, \ldots ; x \in X)$"
2,2.13,Theorem,16,real_and_complex/2.13 Theorem_2_16.jpg,$\Lambda f \leq \int_{x} f d \mu$
11,11.30,Theorem,2,real_and_complex/11.30 Theorem_11_2.jpg,$\Lambda_{r} g=\int_{T} g u_{r} d \sigma \quad(0 \leq r<1)$
10,10.40,Theorem,3,real_and_complex/10.40 Theorem_10_3.jpg,"$|\alpha-H(s, t)|>2 \epsilon \quad$ if $\quad(s, t) \in I^{2}$"
9,9.6,Theorem,2,real_and_complex/9.6 Theorem_9_2.jpg,$\left|\hat{f}\left(t_{n}\right)-\hat{f}(t)\right| \leq \int_{-\infty}^{\infty}|f(x)|\left|e^{-i t_{n} x}-e^{-i t x}\right| d m(x)$
5,5.21,Remark,2,real_and_complex/5.21 Remark_5_2.jpg,$\|f\|_{E}=\sup \{|f(x)|: x \in E\}$
6,6.19,Theorem,4,real_and_complex/6.19 Theorem_6_4.jpg,$|\Phi(f)| \leq \Lambda(|f|) \leq\|f\| \quad\left(f \in C_{c}(X)\right)$
14,14.13,Theorem,9,real_and_complex/14.13 Theorem_14_9.jpg,$\sum_{n=1}^{N} n\left|\alpha_{n}\right|^{2}\left(1-r^{2 n}\right) \leq 1+\eta r$
10,10.6,Theorem,2,real_and_complex/10.6 Theorem_10_2.jpg,$f^{\prime}(z)=\sum_{n=1}^{\infty} n c_{n}(z-a)^{n-1}$
3,3.11,Theorem,4,real_and_complex/3.11 Theorem_3_4.jpg,"$f_{n_{1}}+\sum_{i=1}^{k-1}\left(f_{n_{i+1}}-f_{n_{i}}\right)=f_{n_{k}}$,"
7,7.15,Theorem,5,real_and_complex/7.15 Theorem_7_5.jpg,$\int_{I} g_{n}(t) d t=\int_{I} g_{n+1}(t) d t=2^{-n}$
9,9.10,Theorem,2,real_and_complex/9.10 Theorem_9_2.jpg,$\left(f * h_{\lambda}\right)(x)-f(x)=\int_{-\infty}^{\infty}[f(x-y)-f(x)] h_{\lambda}(y) d m(y)$
8,8.8,Theorem,3,real_and_complex/8.8 Theorem_8_3.jpg,$\varphi^{*}(x)=\int_{Y}|f|_{x} d \lambda$ and $\int_{X} \varphi^{*} d \mu<\infty$
19,19.2,Theorem,3,real_and_complex/19.2 Theorem_19_3.jpg,$\int_{0}^{\infty}|F(t)|^{2} d t=C$.
17,17.25,Lemma,1,real_and_complex/17.25 Lemma_17_1.jpg,$1 \leq \beta(\cos \varphi)^{p}-\alpha \cos p \varphi \quad\left(-\frac{\pi}{2} \leq \varphi \leq \frac{\pi}{2}\right)$
19,19.11,Theorem,15,real_and_complex/19.11 Theorem_19_15.jpg,$\left|1-\frac{\sin z}{z}\right| \leq B|z| \quad(|z| \leq 1)$
10,10.42,The,1,real_and_complex/10.42 The Residue Theorem_10_1.jpg,$\operatorname{Ind}_{\Gamma}(\alpha)=0 \quad$ for all $\quad \alpha \notin \Omega$
5,5.9,The,1,real_and_complex/5.9 The Open Mapping Theorem_5_1.jpg,$\Lambda(U) \supset \delta V$
13,13.11,Theorem,2,real_and_complex/13.11 Theorem_13_2.jpg,"$\frac{F(z)-F(a)}{z-a}=\frac{1}{z-a} \int_{[a, z]} f(\zeta) d \zeta$"
6,6.10,The,5,real_and_complex/6.10 The Theorem_6_5.jpg,$f \rightarrow \int_{X} f d \lambda$
6,6.16,Theorem,6,real_and_complex/6.16 Theorem_6_6.jpg,$\Phi(f)=\int_{X} f g d \mu$
4,4.14,(thus,3,real_and_complex/4.14 (thus obtaining Theorem_4_3.jpg,"$(\varphi, \psi)=\sum_{\alpha \in A} \varphi(\alpha) \overline{\psi(\alpha)}$"
16,16.9,Definition,1,real_and_complex/16.9 Definition_16_1.jpg,"$\left(f_{0}, D_{0}\right) \sim\left(f_{1}, D_{1}\right)$"
2,2.1,Definition,4,real_and_complex/2.1 Definition_2_4.jpg,$\Lambda f=\int_{I} f d \mu \quad(f \in C)$.
8,8.14,Theorem,5,real_and_complex/8.14 Theorem_8_5.jpg,"$F(x, y)=f(x-y) g(y)$"
6,6.19,Theorem,14,real_and_complex/6.19 Theorem_6_14.jpg,$\Lambda(u+i v)=\Lambda u+i \Lambda v$
6,6.16,Theorem,12,real_and_complex/6.16 Theorem_6_12.jpg,$\Phi(f)=\Psi\left(w^{-1 / p} f\right)=\int_{X} w^{-1 / p} f G d \tilde{\mu}=\int_{X} f g d \mu$
9,9.9,Theorem,1,real_and_complex/9.9 Theorem_9_1.jpg,$\lim _{\lambda \rightarrow 0}\left(g * h_{\lambda}\right)(x)=g(x)$
8,8.14,Theorem,4,real_and_complex/8.14 Theorem_8_4.jpg,$\|f\|_{1}=\int_{-\infty}^{\infty}|f(x)| d x$.
4,4.14,(thus,2,real_and_complex/4.14 (thus obtaining Theorem_4_2.jpg,$\sum_{\alpha \in A}|\varphi(\alpha)|^{2}<\infty$.
6,6.16,Theorem,7,real_and_complex/6.16 Theorem_6_7.jpg,"$\int_{X} \chi_{E_{n}}|g|^{q} d \mu \leq\|\Phi\|^{q} \quad(n=1,2,3, \ldots)$"
7,7.8,or,2,real_and_complex/7.8 or Theorem_7_2.jpg,$\epsilon<\frac{m(E \cap I)}{m(I)}<1-\epsilon$
6,6.10,The,4,real_and_complex/6.10 The Theorem_6_4.jpg,$\int_{X} f d \varphi=\int_{X} f d \lambda+\int_{X} f w d \mu$
15,15.9,Theorem,2,real_and_complex/15.9 Theorem_15_2.jpg,$P(z)=\prod_{n=1}^{\infty} E_{p_{n}}\left(\frac{z}{z_{n}}\right)$
1,1.35,Definition,2,real_and_complex/1.35 Definition_1_2.jpg,$\int_{E} f d \mu=\int_{E} g d \mu$.
19,19.11,Theorem,14,real_and_complex/19.11 Theorem_19_14.jpg,"$\left|x^{k} f(x)\right| \leq M_{k}\left(\frac{\sin x}{x}\right)^{2} \quad(x$ real, $k=0,1,2, \ldots)$"
19,19.2,Theorem,2,real_and_complex/19.2 Theorem_19_2.jpg,$f(z)=\int_{0}^{\infty} F(t) e^{i t z} d t \quad\left(z \in \Pi^{+}\right)$
9,9.10,Theorem,3,real_and_complex/9.10 Theorem_9_3.jpg,$\left|\left(f * h_{\lambda}\right)(x)-f(x)\right|^{p} \leq \int_{-\infty}^{\infty}|f(x-y)-f(x)|^{p} h_{\lambda}(y) d m(y)$.
8,8.8,Theorem,2,real_and_complex/8.8 Theorem_8_2.jpg,$\int_{X} \varphi d \mu=\int_{X \times Y} f d(\mu \times \lambda)=\int_{Y} \psi d \lambda$.
7,7.15,Theorem,4,real_and_complex/7.15 Theorem_7_4.jpg,"$g_{n}=\delta_{n}^{-1} \chi_{E_{n}} \quad$ and $\quad f_{n}(x)=\int_{0}^{x} g_{n}(t) d t \quad(n=0,1,2, \ldots)$"
3,3.11,Theorem,5,real_and_complex/3.11 Theorem_3_5.jpg,$f(x)=\lim _{i \rightarrow \infty} f_{n_{i}}(x) \quad$ a.e.
2,2.12,Urysohn’s,5,real_and_complex/2.12 Urysohn’s Lemma_2_5.jpg,"$f=\sup _{r} f_{r}, \quad g=\inf _{s} g_{s}$."
14,14.13,Theorem,8,real_and_complex/14.13 Theorem_14_8.jpg,$=\pi\left\{r^{-2}-1+\sum_{1}^{\infty} n\left|\alpha_{n}\right|^{2}\left(1-r^{2 n}\right)\right\}$.
10,10.35,Cauchy’s,12,real_and_complex/10.35 Cauchy’s Theorem_10_12.jpg,$\frac{1}{2 \pi i} \int_{\Gamma} f(z) d z=\frac{1}{2 \pi i} \int_{\Gamma} \frac{F(z)}{z-a} d z=F(a) \cdot \operatorname{Ind}_{\Gamma}(a)=0$
14,14.20,Remark,1,real_and_complex/14.20 Remark_14_1.jpg,"$A(r, R)=\{z: r<|z|<R\}$"
20,20.4,Tietze’s,4,real_and_complex/20.4 Tietze’s Extension Theorem_20_4.jpg,"$\left|f-f_{1}-\cdots-f_{n}\right| \leq\left(\frac{2}{3}\right)^{n}$ on $K, \quad\left|f_{n}\right| \leq \frac{1}{3} \cdot\left(\frac{2}{3}\right)^{n-1}$ on $X$."
6,6.19,Theorem,5,real_and_complex/6.19 Theorem_6_5.jpg,$|\Phi(f)| \leq \Lambda(|f|)=\int_{X}|f| d \lambda=\|f\|_{1} \quad\left(f \in C_{c}(X)\right)$.
9,9.6,Theorem,3,real_and_complex/9.6 Theorem_9_3.jpg,$h_{\lambda}(x)=\sqrt{\frac{2}{\pi}} \frac{\lambda}{\lambda^{2}+x^{2}}$
5,5.21,Remark,3,real_and_complex/5.21 Remark_5_3.jpg,$|f(x)| \leq\|f\|_{H}$.
1,1.29,Theorem,1,real_and_complex/1.29 Theorem_1_1.jpg,$\varphi(E)=\int_{E} f d \mu \quad(E \in \mathfrak{M})$
10,10.40,Theorem,2,real_and_complex/10.40 Theorem_10_2.jpg,"$H(s, 0)=\Gamma_{0}(s), \quad H(s, 1)=\Gamma_{1}(s), \quad H(0, t)=H(1, t)$"
4,4.23,Definition,8,real_and_complex/4.23 Definition_4_8.jpg,"$\left(u_{n}, u_{m}\right)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} e^{i(n-m) t} d t=\left\{\begin{array}{ll}1 & \text { if } n=m \\ 0 & \text { if } n \neq m\end{array}\right.$"
11,11.30,Theorem,3,real_and_complex/11.30 Theorem_11_3.jpg,$\lim _{j \rightarrow \infty} \int_{T} g u_{r_{j}} d \sigma=\int_{T} g d \mu$
8,8.15,Definition,2,real_and_complex/8.15 Definition_8_2.jpg,$\int_{X} f d \mu=\int_{0}^{\infty} \mu\{f>t\} d t$
2,2.13,Theorem,17,real_and_complex/2.13 Theorem_2_17.jpg,$y_{0}<a<y_{1}<\cdots<y_{n}=b$.
1,1.18,Definition,1,real_and_complex/1.18 Definition_1_1.jpg,$\mu\left(\bigcup_{i=1}^{\infty} A_{i}\right)=\sum_{i=1}^{\infty} \mu\left(A_{i}\right)$
1,1.28,Fatou’s,3,real_and_complex/1.28 Fatou’s Lemma_1_3.jpg,"$\int_{X} g_{k} d \mu \leq \int_{X} f_{k} d \mu \quad(k=1,2,3, \ldots)$"
10,10.2,Definition,2,real_and_complex/10.2 Definition_10_2.jpg,"$\left|\frac{f(z)-f\left(z_{0}\right)}{z-z_{0}}-f^{\prime}\left(z_{0}\right)\right|<\epsilon \quad$ for all $z \in D^{\prime}\left(z_{0} ; \delta\right)$.
$$"
19,19.1,Definition,3,real_and_complex/19.1 Definition_19_3.jpg,$\frac{1}{2 \pi} \int_{-\infty}^{\infty}|f(x+i y)|^{2} d x=\int_{0}^{\infty}|F(t)|^{2} e^{-2 t y} d t \leq \int_{0}^{\infty}|F(t)|^{2} d t$
20,20.2,Lemma,5,real_and_complex/20.2 Lemma_20_5.jpg,$g(z)=\frac{1}{a} F^{-1}(z) \quad(z \in \Omega)$
10,10.10,Theorem,1,real_and_complex/10.10 Theorem_10_1.jpg,$\operatorname{Ind}_{\nu}(z)=\frac{1}{2 \pi i} \int_{\gamma} \frac{d \zeta}{\zeta-z} \quad(z \in \Omega)$
19,19.9,Theorem,1,real_and_complex/19.9 Theorem_19_1.jpg,"$\left|\left(D^{n} f\right)(x)\right| \leq \beta \delta^{-n} n ! \quad(n=0,1,2, \ldots)$"
20,20.5,Theorem,22,real_and_complex/20.5 Theorem_20_22.jpg,"$|F(z)-\Phi(z)|<\frac{2 \omega(\delta)}{\pi \delta} \iint\left|R(\zeta, z)-\frac{1}{z-\zeta}\right| d \xi d \eta \quad(z \in \Omega)$"
20,20.2,Lemma,14,real_and_complex/20.2 Lemma_20_14.jpg,"$|\varphi(z)|<8 r^{3}|Q(\zeta, z)|+4 r^{2}<1,000 r^{2}$"
7,7.20,Theorem,2,real_and_complex/7.20 Theorem_7_2.jpg,"$f_{1}=\frac{1}{2}(F+f), \quad f_{2}=\frac{1}{2}(F-f)$,"
2,2.25,The,2,real_and_complex/2.25 The Vitali-Carathéodory Theorem_2_2.jpg,$f(x)=\sum_{i=1}^{\infty} c_{i} \chi_{E_{i}}(x) \quad(x \in X)$
11,17.18,and,2,real_and_complex/17.18 and Sec. 17.19.) PROOF By Theorem_11_2.jpg,$F(z)=\prod_{k=1}^{n} f\left(\alpha^{k} z\right) \quad(z \in U)$
15,15.24,Theorem,2,real_and_complex/15.24 Theorem_15_2.jpg,$B_{N}(z)=\prod_{n=N}^{\infty} \frac{\alpha_{n}-z}{1-\bar{\alpha}_{n} z} \cdot \frac{\left|\alpha_{n}\right|}{\alpha_{n}}$
20,20.2,Lemma,10,real_and_complex/20.2 Lemma_20_10.jpg,$|Q| \leq \frac{4}{r}+5 r\left(\frac{16}{r^{2}}\right)<\frac{100}{r}$
3,3.5,Theorem,8,real_and_complex/3.5 Theorem_3_8.jpg,$(f+g)^{p}=f \cdot(f+g)^{p-1}+g \cdot(f+g)^{p-1}$
4,4.14,Theorem,3,real_and_complex/4.14 Theorem_4_3.jpg,$s_{F}(x)=\sum_{\alpha \in F} \hat{x}(\alpha) u_{\alpha}$
15,15.15,Theorem,1,real_and_complex/15.15 Theorem_15_1.jpg,$m(\varphi ; \alpha)=\min \left\{m\left(g_{i} ; \alpha\right): 1 \leq i \leq n-1\right\} \quad(\alpha \in \Omega)$
